"#Mumbai provisional data from daily MCGM brief bulletins, beginning May 08, 2020. Some data missing",,,,,,,,,
date,ICU bed capacity,ICU beds occupied,ICU beds available,O2 bed capacity,O2 beds occupied,O2 beds available,Ventilator bed capacity,Ventilator beds occupied,Ventilator beds available
2020-05-08,480,456,,,,,,,
2020-05-09,,,,,,,,,
2020-05-10,,,,,,,,,
2020-05-11,438,397,,,,,,,
2020-05-12,,,,,,,,,
2020-05-13,,,,,,,,,
2020-05-14,438,417,,,,,,,
2020-05-15,,,,,,,,,
2020-05-16,474,446,,,,,,,
2020-05-17,520,473,,,,,,,
2020-05-18,520,473,,,,,,,
2020-05-19,552,510,,,,,,,
2020-05-20,563,538,,,,,,,
2020-05-21,586,567,,,,,,,
2020-05-22,586,567,,,,,,,
2020-05-23,597,583,,,,,335,198,
2020-05-24,626,607,,4116,2606,,358,230,
2020-05-25,626,610,,4128,2642,,359,242,
