"#Mumbai provisional data from daily MCGM brief bulletins, beginning March 21, some data missing",,,,,,,,,,
date of bulletin,cases to date,deaths to date,tests to date,Dths <40 (new),Dths 40-60 (new),Dths >60 (new),Active containment zones,Active sealed bldgs,old/reconciled deaths,notes
21/03/20,19,1,?,?,?,?,?,?,0,
22/03/20,24,2,?,?,?,?,?,?,0,
23/03/20,37,3,?,?,?,?,?,?,0,
24/03/20,41,2,?,?,?,?,?,?,0,
25/03/20,43,2,?,?,?,?,?,?,0,
26/03/20,52,2,?,?,?,?,?,?,0,
27/03/20,58,3,?,?,?,?,?,?,0,
28/03/20,73,4,?,?,?,?,?,?,0,
29/03/20,88,5,?,?,?,?,?,?,0,
30/03/20,126,6,?,?,?,?,?,?,0,
31/03/20,?,?,?,?,?,?,?,?,0,
01/04/20,?,?,?,?,?,?,?,?,0,
02/04/20,?,?,?,?,?,?,?,?,0,
03/04/20,278,18,?,?,?,?,?,?,0,
04/04/20,330,22,?,?,?,?,?,?,0,
05/04/20,433,30,?,?,?,?,?,?,0,
06/04/20,490,34,?,?,?,?,?,?,0,
07/04/20,590,40,?,?,?,?,?,?,0,
08/04/20,696,45,?,?,?,?,?,?,0,
09/04/20,775,54,?,?,?,?,?,?,0,
10/04/20,993,64,?,?,?,?,?,?,0,
11/04/20,1182,75,?,?,?,?,?,?,0,
12/04/20,1399,91,?,?,?,?,?,?,0,
13/04/20,1549,100,?,?,?,?,?,?,0,
14/04/20,1753,111,?,?,?,?,?,?,0,
15/04/20,1936,113,?,?,?,?,?,?,0,
16/04/20,2043,116,?,?,?,?,?,?,0,
17/04/20,2120,121,?,?,?,?,?,?,0,
18/04/20,2509,125,?,?,?,?,?,?,0,
19/04/20,2798,131,?,?,?,?,?,?,0,
20/04/20,,,?,?,?,?,?,?,0,
21/04/20,3445,150,?,?,?,?,?,?,0,
22/04/20,3754,160,?,?,?,?,?,?,0,
23/04/20,4232,168,?,?,?,?,?,?,0,
24/04/20,4589,179,?,?,?,?,?,?,0,
25/04/20,4870,191,?,?,?,?,?,?,0,
26/04/20,?,?,?,?,?,?,?,?,0,
27/04/20,5589,219,?,3,8,4,?,?,0,
28/04/20,5982,244,?,1,10,14,?,?,0,
29/04/20,6457,270,?,0,12,14,?,?,0,
30/04/20,6874,290,?,0,12,8,?,?,0,
01/05/20,7625,295,?,1,2,2,?,?,0,
02/05/20,8172,322,?,0,15,12,?,?,0,
03/05/20,8613,343,?,1,9,11,?,?,0,
04/05/20,9123,361,?,2,7,9,?,?,0,
05/05/20,9758,387,?,2,13,11,?,?,0,
06/05/20,10527,412,?,1,12,12,?,?,0,
07/05/20,11219,437,?,3,10,12,?,?,0,
08/05/20,?,?,?,?,?,?,?,?,0,
09/05/20,12689,489,?,3,12,12,?,?,0,
10/05/20,13564,508,?,1,13,5,?,?,0,
11/05/20,14355,528,?,2,8,10,?,?,0,
12/05/20,14781,556,?,4,14,10,?,?,0,
13/05/20,15581,596,?,3,17,20,?,?,0,
14/05/20,16579,621,?,1,10,14,?,?,0,
15/05/20,17512,655,?,3,18,13,?,?,0,
16/05/20,18396,696,?,2,12,27,?,?,0,
17/05/20,19967,734,?,3,15,20,?,?,0,
18/05/20,21152,757,?,3,9,11,?,?,0,
19/05/20,22563,800,?,2,21,20,?,?,0,
20/05/20,23935,841,?,1,18,18,?,?,0,
21/05/20,25317,882,?,3,17,21,?,?,0,
22/05/20,27068,909,?,1,13,13,?,?,0,
23/05/20,28634,949,?,4,15,21,659,2411,0,
24/05/20,30359,988,?,0,23,16,?,?,0,
25/05/20,31789,1026,?,3,20,15,?,?,0,
26/05/20,32791,1065,174841,4,23,12,686,2826,0,
27/05/20,33835,1097,?,3,17,12,?,?,0,
28/05/20,35273,1135,185701,4,19,15,?,?,0,
29/05/20,36710,1173,189967,2,16,20,700,3110,0,
30/05/20,38220,1227,?,0,26,28,?,?,0,
31/05/20,39464,1279,?,2,28,22,?,?,0,
01/06/20,40877,1319,201507,0,20,20,?,?,0,
02/06/20,41986,1368,?,2,15,32,?,?,0,
03/06/20,43262,1417,?,?,?,?,759,3739,0,
04/06/20,44704,1465,?,7,18,23,?,?,0,
05/06/20,45854,1518,215829,2,19,32,?,?,0,
06/06/20,?,?,?,?,?,?,?,?,0,
07/06/20,48549,1636,?,3,30,28,?,?,0,
08/06/20,49863,1700,?,3,23,38,?,?,0,
09/06/20,50878,1758,233570,2,26,30,775,4071,0,
10/06/20,52445,1855,?,4,37,56,?,?,20,
11/06/20,53985,1952,242923,10,34,53,?,?,43,
12/06/20,55357,2042,?,6,38,46,?,?,0,
13/06/20,56740,2111,?,7,25,37,?,?,0,
14/06/20,58135,2190,257274,4,33,40,?,?,0,
15/06/20,59201,2248,261210,3,30,25,828,4859,0,
16/06/20,60142,3165,264580,2,24,29,823,4959,862,
17/06/20,61501,3242,269608,7,27,43,834,5205,0,
18/06/20,62779,3309,?,7,28,32,?,?,0,
19/06/20,64068,3423,278790,9,50,55,?,?,59,
20/06/20,65265,3559,283119,9,51,76,?,?,61,
21/06/20,66507,3669,287384,2,11,28,865,5784,69,
22/06/20,67635,3735,291590,3,30,33,?,?,46,
23/06/20,68481,3842,294861,7,40,60,770,5951,65,
24/06/20,69625,3962,299379,8,38,74,765,6116,82,
25/06/20,70990,4060,304690,7,40,51,756,6005,40,
26/06/20,72287,4177,?,7,41,69,?,?,73,
27/06/20,73747,4282,?,6,46,53,?,?,64,
28/06/20,75047,4369,319973,6,32,49,728,5646,64,
29/06/20,76294,4461,324666,15,29,48,726,5831,71,
30/06/20,77197,4554,328621,11,38,44,750,5875,57,
01/07/20,78708,4629,333752,5,32,38,755,6174,69,
02/07/20,80262,4686,339796,4,19,34,754,6253,0,
03/07/20,81634,4759,344968,4,29,40,757,6352,0,
04/07/20,82814,4827,349913,3,24,41,?,?,0,
05/07/20,84125,4896,354649,4,22,43,?,?,0,
06/07/20,85326,4935,359159,2,15,22,750,6552,0,
07/07/20,86132,4999,363120,5,19,40,?,?,0,
08/07/20,87513,5061,368603,5,16,41,?,?,0,
09/07/20,88795,5129,374142,3,22,43,746,6634,0,
10/07/20,90149,5202,379554,2,16,55,751,6597,0,
11/07/20,91457,5241,385453,3,10,26,732,6751,0,
12/07/20,92720,5285,391222,4,8,32,?,?,0,
13/07/20,93894,5332,396500,6,13,28,?,?,0,
14/07/20,94863,5402,401741,2,24,44,?,?,0,
15/07/20,96253,5464,408320,3,21,38,?,?,0,
16/07/20,97751,5520,415390,5,20,31,?,?,0,
17/07/20,98979,5582,421345,2,25,35,700,6003,0,
18/07/20,100178,5647,427378,4,19,42,708,6235,0,
19/07/20,101224,5711,433227,4,24,36,691,6163,0,
20/07/20,102267,5752,438261,3,14,24,667,6173,0,
21/07/20,103262,5814,443083,2,21,39,654,6087,0,
22/07/20,104572,5872,450459,5,12,41,639,6100,0,
23/07/20,105829,5927,456511,5,14,36,625,6308,0,
24/07/20,106891,5981,461721,6,9,39,625,6108,0,
25/07/20,107981,6033,470330,4,15,33,?,?,0,
26/07/20,109096,6090,478825,5,18,34,630,6018,0,
27/07/20,110129,6129,485563,1,12,26,636,6048,0,
28/07/20,110846,6184,494339,2,18,35,627,6022,0,
29/07/20,111964,6244,505982,2,10,48,622,5960,0,
30/07/20,113187,6297,516714,1,20,32,616,6173,0,
31/07/20,114287,6350,526982,3,10,40,617,5313,0,
01/08/20,115246,6395,537536,1,11,33,614,5409,0,
02/08/20,116451,6444,546620,1,17,31,617,5519,0,
03/08/20,117421,6490,551994,2,14,30,618,5470,0,
04/08/20,118130,6546,559787,1,13,42,634,5616,0,
05/08/20,119255,6588,567031,0,18,24,621,5609,0,
06/08/20,120165,6645,574919,2,25,30,619,5661,0,
07/08/20,121027,6690,583160,1,11,33,?,?,0,
08/08/20,122331,6748,592230,2,13,43,582,5396,0,
09/08/20,123397,6796,599791,1,12,35,589,5384,0,
10/08/20,124322,6842,605419,4,12,30,587,5489,0,
11/08/20,125239,6890,613745,3,20,25,591,5415,0,
12/08/20,126371,6940,622963,3,17,30,590,5515,0,
13/08/20,127571,6988,629899,4,9,35,602,5552,0,
14/08/20,128550,7035,637876,1,11,35,605,5454,0,
15/08/20,127716,7083,645151,1,16,31,572,5435,0,
16/08/20,128726,7130,651593,2,12,33,570,5631,0,
17/08/20,129479,7170,656690,2,13,25,580,5509,0,
18/08/20,130410,7219,663400,3,15,31,578,5543,0,
19/08/20,131542,7265,671888,1,13,32,575,5493,0,
20/08/20,132817,7311,680382,0,18,28,?,?,0,
21/08/20,134223,7353,688876,3,11,28,593,5572,0,
22/08/20,135357,7385,697368,0,11,21,608,5795,0,
23/08/20,136348,7419,704314,0,6,28,604,5834,0,
24/08/20,137091,7439,709583,1,6,13,604,5834,0,
25/08/20,137678,7474,715543,0,7,28,599,5936,0,
26/08/20,139532,7502,725519,0,6,22,575,5666,0,
27/08/20,140882,7532,734619,1,8,21,557,5738,0,
28/08/20,142099,7562,743885,0,7,23,554,5662,0,
29/08/20,143389,7593,753869,1,12,18,556,5916,0,
30/08/20,144626,7623,762672,0,8,22,559,6093,0,
31/08/20,145805,7655,768818,1,7,24,567,6171,0,
01/09/20,146947,7690,775974,2,11,22,577,6293,0,
02/09/20,148569,7724,784392,0,7,27,562,6284,0,
03/09/20,150095,7761,792785,0,10,27,558,6718,0,
04/09/20,152024,7796,802647,0,10,25,560,6797,0,
05/09/20,153712,7829,813035,2,10,21,551,6796,0,
06/09/20,155622,7866,824886,0,10,27,568,7099,0,
07/09/20,157410,7897,834344,2,8,21,573,6825,0,
08/09/20,158756,7939,843691,0,15,27,561,7126,0,
09/09/20,160744,7982,856454,1,12,30,555,7207,0,
10/09/20,163115,8020,872155,1,8,29,544,7528,0,
11/09/20,165287,8064,887274,3,7,34,542,7217,0,
12/09/20,167608,8106,903101,1,18,23,557,7680,0,
13/09/20,169693,8147,915789,0,9,32,555,7983,0,
14/09/20,171949,8178,925148,3,4,24,564,8637,0,
15/09/20,173534,8227,936574,2,14,33,592,8763,0,
16/09/20,175886,8277,950112,2,11,37,601,8992,0,
17/09/20,178275,8320,964609,2,13,28,590,9365,0,
18/09/20,180542,8372,977722,1,12,39,585,9665,0,
