date,A,B,C,D,E,GS,FS,GN,FN,MW,ME,HW,HE,L,N,KW,KE,S,PS,PN,T,RS,RC,RN
2021-10-29,17241,4109,7115,36350,21965,24208,21491,30014,28802,24738,22423,30454,25775,27619,34806,57735,48281,35142,35264,45983,36325,47480,53449,23238
2021-10-30,17255,4111,7113,36361,21960,24210,21493,30017,28807,24744,22428,30461,25783,27620,34816,57759,48300,35152,35277,45997,36329,47484,53459,23242
2021-10-31,17264,4111,7114,36380,21974,24227,21501,30030,28819,24754,22437,30513,25794,27628,34825,57802,48320,35170,35288,46025,36335,47515,53479,23245
2021-11-01,17269,4112,7115,36401,21980,24239,21520,30042,28825,24764,22447,30527,25810,27642,34838,57828,48339,35186,35304,46038,36342,47526,53502,23251
2021-11-02,17271,4112,7117,36412,21987,24250,21526,30049,28830,24772,22457,30546,25819,27653,34848,57849,48362,35203,35314,46056,36353,47543,53522,23253
2021-11-03,17280,4112,7119,36425,21989,24257,21529,30059,28850,24778,22465,30554,25836,27646,34853,57871,48367,35208,35323,46065,36369,47553,53535,23259
2021-11-04,17285,4113,7120,36436,21998,24269,21537,30068,28868,24787,22483,30586,25849,27659,34858,57900,48397,35223,35343,46074,36378,47557,53550,23274
2021-11-05,17288,4115,7122,36457,22004,24273,21547,30089,28878,24799,22485,30606,25856,27662,34863,57930,48423,35231,35354,46085,36385,47567,53567,23281
2021-11-06,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-08,17298,4118,7125,36507,22018,24290,21558,30121,28916,24820,22514,30644,25882,27685,34890,57999,48449,35245,35402,46098,36414,47594,53595,23302
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-10,17307,4119,7128,36533,22030,24303,21575,30146,28928,24831,22527,30674,25908,27690,34915,58058,48476,35255,35422,46122,36442,47609,53627,23307
2021-11-11,17323,4121,7129,36553,22038,24318,21588,30155,28935,24842,22532,30699,25914,27698,34921,58099,48491,35279,35442,46142,36457,47625,53647,23317
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-13,17349,4121,7136,36593,22049,24334,21591,30165,28951,24861,22540,30732,25931,27714,34936,58154,48521,35299,35459,46176,36472,47659,53689,23337
2021-11-14,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-15,17368,4121,7136,36623,22063,24361,21599,30172,28980,24878,22554,30769,25943,27733,34948,58206,48555,35327,35479,46208,36488,47671,53724,23347
2021-11-16,17362,4121,7144,36630,22068,24364,21604,30176,28983,24882,22564,30783,25945,27737,34952,58227,48575,35333,35485,46224,36494,47685,53740,23351
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-18,17379,4121,7147,36646,22077,24379,21614,30182,29014,24895,22581,30827,25962,27736,34969,58272,48615,35353,35512,46228,36528,47721,53763,23364
2021-11-19,17383,4121,7150,36656,22082,24391,21619,30187,29021,24896,22591,30845,25969,27740,34982,58290,48628,35364,35516,46237,36537,47733,53775,23369
2021-11-20,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-21,17390,4123,7156,36680,22093,24399,21628,30204,29038,24908,22602,30879,25971,27748,35000,58332,48661,35381,35551,46248,36554,47752,53800,23378
2021-11-22,17397,4123,7158,36692,22101,24402,21629,30214,29052,24915,22607,30893,25978,27758,35006,58351,48673,35394,35559,46257,36562,47761,53810,23386
2021-11-23,17401,4123,7161,36702,22103,24408,21631,30218,29057,24915,22608,30902,25985,27765,35016,58363,48676,35408,35577,46266,36571,47773,53818,23390
2021-11-24,17401,4124,7161,36716,22105,24411,21642,30221,29068,24925,22614,30912,25988,27769,35025,58367,48692,35416,35587,46274,36577,47784,53842,23396
2021-11-25,17412,4124,7161,36731,22113,24416,21647,30227,29083,24935,22621,30922,25993,27778,35032,58384,48703,35426,35598,46294,36590,47794,53870,23398
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-27,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-28,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-29,17420,4125,7163,36786,22116,24437,21665,30247,29101,24964,22653,30972,26020,27810,35064,58474,48749,35466,35650,46330,36628,47843,53927,23421
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,17423,4128,7166,36802,22124,24444,21668,30260,29114,24972,22664,30990,26025,27825,35074,58512,48763,35480,35655,46346,36647,47855,53950,23424
2021-12-02,17427,4128,7170,36806,22125,24452,21677,30264,29116,24974,22669,30993,26027,27831,35083,58521,48766,35485,35660,46352,36649,47864,53953,23424
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-04,17441,4128,7170,36825,22134,24463,21684,30277,29127,24991,22678,31016,26032,27842,35096,58566,48800,35501,35692,46367,36668,47897,53970,23434
2021-12-05,17446,4130,7170,36840,22137,24469,21688,30280,29131,25001,22684,31028,26035,27848,35102,58587,48810,35515,35708,46374,36687,47905,53988,23438
2021-12-06,17451,4131,7171,36851,22140,24479,21694,30293,29138,25009,22690,31038,26043,27846,35114,58608,48815,35529,35718,46388,36696,47914,53996,23440
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-09,17466,4132,7172,36895,22160,24507,21713,30307,29158,25027,22697,31083,26059,27860,35138,58696,48860,35543,35743,46432,36715,47940,54026,23452
2021-12-10,17470,4133,7173,36908,22167,24518,21716,30317,29168,25038,22697,31105,26062,27865,35145,58715,48875,35552,35755,46442,36719,47956,54035,23460
2021-12-11,17472,4135,7173,36923,22168,24529,21722,30324,29175,25043,22698,31116,26064,27866,35155,58737,48895,35554,35770,46441,36725,47976,54044,23472
2021-12-12,17481,4135,7173,36932,22178,24542,21727,30328,29189,25054,22702,31135,26069,27878,35167,58769,48914,35560,35785,46452,36728,47993,54050,23475
2021-12-13,17488,4135,7176,36942,22183,24551,21730,30333,29199,25061,22705,31144,26075,27881,35178,58792,48922,35574,35806,46451,36733,48001,54059,23476
2021-12-14,17488,4137,7177,36955,22188,24556,21743,30340,29200,25067,22705,31153,26079,27887,35181,58817,48943,35582,35811,46458,36737,48007,54066,23476
2021-12-15,17499,4137,7178,36959,22192,24572,21754,30350,29211,25078,22710,31166,26090,27894,35191,58838,48938,35591,35829,46465,36750,48014,54074,23483
2021-12-16,17508,4144,7177,36977,22192,24587,21762,30353,29219,25081,22713,31176,26096,27900,35198,58875,48950,35601,35841,46469,36760,48032,54082,23489
2021-12-17,17519,4145,7178,36996,22197,24598,21771,30356,29227,25089,22716,31200,26106,27910,35213,58922,48970,35607,35846,46485,36768,48052,54089,23494
2021-12-18,17536,4148,7180,37015,22199,24606,21775,30362,29244,25094,22723,31223,26115,27918,35230,58953,49000,35618,35863,46493,36778,48066,54102,23496
2021-12-19,17547,4148,7180,37040,22207,24621,21782,30367,29254,25101,22729,31251,26123,27925,35240,58981,49026,35628,35870,46499,36784,48072,54125,23498
2021-12-20,17557,4149,7182,37061,22222,24639,21784,30380,29264,25112,22739,31272,26128,27929,35253,59019,49054,35636,35885,46514,36789,48096,54151,23505
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-22,17587,4149,7187,37098,22239,24665,21796,30384,29294,25126,22744,31298,26139,27943,35259,59068,49102,35662,35907,46538,36818,48117,54166,23521
2021-12-23,17607,4153,7193,37140,22247,24689,21806,30399,29312,25148,22759,31331,26158,27951,35281,59110,49123,35686,35925,46571,36828,48129,54182,23532
2021-12-24,17637,4153,7197,37194,22261,24717,21816,30412,29335,25171,22776,31386,26184,27971,35299,59167,49158,35709,35947,46599,36839,48150,54197,23541
2021-12-25,17671,4159,7202,37251,22272,24763,21854,30421,29349,25196,22782,31436,26205,27996,35317,59238,49199,35744,35961,46626,36861,48179,54219,23547
2021-12-26,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-27,17743,4169,7219,37408,22310,24841,21911,30484,29416,25250,22810,31547,26270,28053,35390,59460,49272,35804,36034,46697,36901,48220,54292,23570
2021-12-28,17786,4181,7218,37462,22315,24888,21933,30521,29433,25258,22829,31619,26316,28074,35406,59571,49321,35845,36086,46715,36924,48244,54311,23574
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,17974,4188,7255,37755,22400,25038,22064,30651,29616,25360,22891,32020,26487,28164,35504,60032,49592,35980,36238,46839,37013,48370,54442,23632
2021-12-31,18104,4198,7306,38041,22478,25184,22143,30772,29789,25443,22955,32384,26659,28263,35621,60498,49838,36088,36339,47007,37076,48510,54597,23715
2022-01-01,18296,4221,7342,38433,22585,25420,22284,30987,30057,25593,23053,32933,26895,28415,35769,61060,50204,36300,36499,47260,37202,48718,54787,23809
2022-01-02,18525,4243,7419,38871,22736,25648,22486,31163,30308,25800,23160,33588,27196,28583,35936,61888,50683,36490,36855,47471,37327,49025,55038,23964
2022-01-03,18772,4285,7494,39303,22892,25876,22706,31503,30670,26043,23270,34328,27560,28798,36172,62782,51254,36831,37176,47847,37493,49406,55461,24160
2022-01-04,19033,4315,7577,39762,23106,26183,22923,31733,31071,26274,23482,35108,27934,29024,36406,63716,51749,37184,37524,48229,37589,49802,55900,24369
2022-01-05,19321,4350,7639,40169,23343,26467,23170,32078,31530,26736,23601,35933,28327,29310,36679,64888,52444,37575,38009,48720,37808,50278,56361,24667
2022-01-06,19751,4397,7764,40880,23731,26922,23573,32740,32212,27288,23925,37186,28988,29741,37117,66466,53588,38224,38561,49518,38184,51174,57319,24954
2022-01-07,20231,4448,7900,41438,24077,27425,24072,33383,33147,27878,24383,38698,29952,30224,37809,68681,55024,39012,39363,50636,38724,52322,58220,25526
2022-01-08,20789,4513,8053,42208,24655,28190,24549,34167,34149,28694,24771,40218,30884,30915,38436,70844,56708,40019,40059,51663,39355,53316,59082,26048
